               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11118,            0.042647,            0.053244,             0.85451,            0.085236,             0.07652,            0.023005,             0.08982,            0.042796,            0.038662,           0.0032932,           0.0032932,            0.070361
                   1,            0.093819,            0.034751,            0.036987,             0.71128,             0.18578,              0.1281,            0.042582,            0.089752,            0.039729,             0.03382,           0.0065609,           0.0065609,            0.040296
                   2,             0.08648,            0.034553,            0.032948,             0.63338,             0.23888,             0.23897,             0.10211,            0.076038,            0.036253,            0.029525,           0.0097626,           0.0097626,            0.010164
                   3,            0.078422,            0.033456,            0.029158,             0.64035,             0.29631,             0.29397,             0.11506,            0.073875,            0.034633,            0.026001,            0.009703,            0.009703,            0.009703
                   4,            0.072948,            0.033751,            0.026514,             0.64793,             0.33444,             0.35088,              0.1571,            0.068424,            0.035067,            0.024279,            0.009703,            0.009703,            0.009703
                   5,            0.070711,             0.03287,            0.025024,             0.74248,             0.37313,             0.44045,             0.21461,            0.065689,            0.034163,            0.022824,            0.009604,            0.009604,            0.009604
                   6,            0.068762,            0.032581,            0.023591,             0.60979,             0.41491,              0.4512,             0.23924,            0.063326,            0.033439,            0.021872,            0.009505,            0.009505,            0.009505
                   7,            0.066181,             0.03165,            0.022759,             0.67162,             0.38904,             0.44766,             0.23805,             0.06267,             0.03269,            0.021202,            0.009406,            0.009406,            0.009406
                   8,            0.066271,            0.032226,            0.022093,             0.65156,             0.46437,             0.52622,             0.27897,            0.061842,            0.032983,            0.020743,            0.009307,            0.009307,            0.009307
                   9,            0.065421,            0.031109,            0.021423,             0.72664,             0.51869,             0.59155,             0.34053,            0.061096,            0.032859,             0.01997,            0.009208,            0.009208,            0.009208
                  10,            0.064095,            0.031148,            0.021152,             0.77953,             0.55407,             0.59406,              0.3461,            0.059628,             0.03169,            0.019295,            0.009109,            0.009109,            0.009109
                  11,            0.063656,            0.030045,            0.020492,             0.81731,             0.57409,             0.62227,             0.36525,            0.059846,            0.031859,            0.018819,             0.00901,             0.00901,             0.00901
                  12,            0.062722,            0.030859,            0.020144,              0.7841,             0.58058,             0.61997,             0.36404,            0.059141,            0.031246,            0.018835,            0.008911,            0.008911,            0.008911
                  13,            0.062618,            0.029993,            0.019867,             0.76401,             0.59966,             0.62144,              0.3828,            0.058363,            0.031058,            0.018567,            0.008812,            0.008812,            0.008812
                  14,              0.0616,            0.030128,            0.019554,             0.79513,             0.61455,             0.64462,             0.38449,            0.057424,            0.031465,            0.018005,            0.008713,            0.008713,            0.008713
                  15,            0.061239,            0.030714,            0.019237,             0.81338,             0.62934,              0.6649,              0.3921,            0.058071,            0.031082,            0.017843,            0.008614,            0.008614,            0.008614
                  16,            0.060698,            0.029498,            0.019018,             0.80745,             0.62278,              0.6517,             0.38361,            0.058357,            0.031072,             0.01784,            0.008515,            0.008515,            0.008515
                  17,            0.060927,            0.029191,            0.018854,             0.76203,             0.63415,             0.65352,             0.39261,            0.056971,            0.030972,            0.017871,            0.008416,            0.008416,            0.008416
                  18,            0.060011,            0.030032,            0.018819,             0.78285,              0.6426,             0.66775,             0.41773,            0.055827,            0.030493,            0.017507,            0.008317,            0.008317,            0.008317
                  19,            0.059932,            0.029747,             0.01851,             0.82178,             0.60333,              0.6593,             0.38796,            0.057043,            0.030839,            0.017372,            0.008218,            0.008218,            0.008218
                  20,            0.059838,             0.02957,            0.018511,             0.83968,              0.6428,             0.67801,             0.42084,             0.05573,            0.030626,            0.017171,            0.008119,            0.008119,            0.008119
                  21,            0.059646,            0.029681,            0.018245,             0.79073,              0.6314,              0.6772,             0.41501,            0.055527,            0.030145,             0.01694,             0.00802,             0.00802,             0.00802
                  22,            0.058742,            0.029831,            0.018117,             0.82608,             0.64509,              0.6864,             0.42326,            0.055307,            0.030023,             0.01684,            0.007921,            0.007921,            0.007921
                  23,            0.059092,            0.029998,            0.017858,              0.8275,             0.65634,             0.68774,             0.41776,            0.055131,            0.030056,             0.01679,            0.007822,            0.007822,            0.007822
                  24,            0.059255,             0.02999,            0.017975,             0.80374,             0.65599,              0.6957,             0.43536,            0.054519,            0.029747,            0.016636,            0.007723,            0.007723,            0.007723
                  25,            0.058234,             0.02917,            0.017894,             0.83888,             0.64907,             0.70411,             0.43669,            0.054441,            0.030149,            0.016688,            0.007624,            0.007624,            0.007624
                  26,            0.057724,            0.027943,            0.017729,             0.83109,             0.64856,             0.68342,             0.42678,            0.054462,            0.029899,            0.016819,            0.007525,            0.007525,            0.007525
                  27,            0.057724,            0.028773,            0.017425,             0.79303,             0.66576,             0.70414,              0.4378,            0.054189,            0.029822,            0.016465,            0.007426,            0.007426,            0.007426
                  28,            0.057421,            0.028496,            0.017336,             0.84495,             0.66871,             0.72332,             0.45605,            0.054248,            0.029627,            0.016261,            0.007327,            0.007327,            0.007327
                  29,            0.057148,            0.028418,            0.017357,             0.83873,             0.65374,             0.70554,             0.43603,            0.053776,            0.029683,            0.016226,            0.007228,            0.007228,            0.007228
                  30,            0.057159,            0.028867,            0.017274,             0.84405,             0.65412,             0.71972,             0.44621,            0.053551,            0.029719,            0.016217,            0.007129,            0.007129,            0.007129
                  31,            0.057286,             0.02836,            0.017304,             0.83389,             0.66589,             0.71647,             0.45013,            0.053509,            0.029559,            0.016271,             0.00703,             0.00703,             0.00703
                  32,            0.056842,            0.027934,            0.017075,             0.83642,             0.65873,             0.71945,             0.44775,            0.053874,            0.029647,            0.016353,            0.006931,            0.006931,            0.006931
                  33,            0.056881,            0.027818,            0.017134,             0.84393,             0.65382,             0.72112,             0.45104,            0.053476,            0.029564,            0.016188,            0.006832,            0.006832,            0.006832
                  34,            0.056414,              0.0278,            0.017021,             0.84203,             0.67164,             0.73651,             0.46763,            0.053228,            0.029162,            0.015973,            0.006733,            0.006733,            0.006733
                  35,            0.056355,            0.027503,            0.016817,              0.8258,             0.68146,             0.73838,             0.46223,            0.052988,            0.029436,            0.016053,            0.006634,            0.006634,            0.006634
                  36,            0.056054,            0.028081,            0.017092,             0.85494,             0.67256,             0.74333,             0.47012,            0.052844,             0.02926,            0.015989,            0.006535,            0.006535,            0.006535
                  37,            0.055919,            0.028474,            0.016841,             0.83994,             0.68179,             0.73939,             0.47106,            0.052809,            0.029163,             0.01591,            0.006436,            0.006436,            0.006436
                  38,            0.055631,            0.028256,             0.01681,             0.86656,             0.66809,             0.74295,             0.47907,             0.05255,            0.029388,            0.015767,            0.006337,            0.006337,            0.006337
                  39,            0.055576,             0.02788,            0.016678,              0.8415,             0.67781,             0.74503,             0.47701,            0.052475,            0.029055,            0.015714,            0.006238,            0.006238,            0.006238
                  40,            0.055741,             0.02832,             0.01674,             0.85948,             0.68016,             0.74877,             0.46854,            0.052365,            0.028949,            0.015669,            0.006139,            0.006139,            0.006139
                  41,            0.054945,            0.028322,            0.016596,             0.84637,             0.68538,             0.74468,             0.46155,            0.052308,            0.029148,            0.015856,             0.00604,             0.00604,             0.00604
                  42,            0.054883,            0.027603,            0.016502,             0.85548,             0.67517,             0.74431,             0.47153,            0.052281,            0.029241,            0.015753,            0.005941,            0.005941,            0.005941
                  43,            0.054883,            0.028559,              0.0164,             0.83792,             0.69597,             0.74864,             0.47932,             0.05209,            0.028954,            0.015569,            0.005842,            0.005842,            0.005842
                  44,            0.054867,            0.027307,            0.016448,             0.85731,             0.68314,             0.75551,             0.47877,            0.051982,            0.028862,            0.015553,            0.005743,            0.005743,            0.005743
                  45,            0.055213,             0.02795,            0.016364,             0.85641,              0.6926,             0.75661,             0.47277,            0.051995,            0.028937,            0.015556,            0.005644,            0.005644,            0.005644
                  46,            0.054824,            0.027781,            0.016414,             0.83273,             0.69595,             0.76263,             0.49388,            0.051938,            0.029092,            0.015529,            0.005545,            0.005545,            0.005545
                  47,            0.054994,            0.027795,            0.016301,             0.81143,             0.71075,             0.76336,             0.49541,            0.051812,            0.028806,            0.015565,            0.005446,            0.005446,            0.005446
                  48,            0.054317,             0.02785,            0.016175,             0.82388,             0.71595,             0.76505,             0.48646,            0.051429,            0.028674,            0.015323,            0.005347,            0.005347,            0.005347
                  49,            0.053924,            0.027434,            0.016051,             0.82086,             0.71945,             0.76379,             0.49275,            0.051643,            0.028989,            0.015402,            0.005248,            0.005248,            0.005248
                  50,            0.054172,            0.027429,            0.016145,             0.82332,             0.73809,              0.7664,             0.49247,            0.051462,            0.028668,            0.015271,            0.005149,            0.005149,            0.005149
                  51,            0.053849,            0.027211,            0.016108,             0.83752,             0.73255,             0.77529,             0.50023,            0.051559,            0.028611,            0.015213,             0.00505,             0.00505,             0.00505
                  52,            0.054099,            0.027549,            0.016153,             0.85281,             0.72045,             0.76992,             0.49925,            0.051395,             0.02873,            0.015168,            0.004951,            0.004951,            0.004951
                  53,            0.053967,            0.026922,             0.01599,              0.8402,              0.7283,             0.77563,             0.50397,            0.051072,            0.028506,            0.015213,            0.004852,            0.004852,            0.004852
                  54,            0.053601,            0.026802,            0.015871,             0.86267,             0.72376,             0.77376,             0.50185,            0.050971,             0.02862,            0.015188,            0.004753,            0.004753,            0.004753
                  55,             0.05357,            0.026575,             0.01583,             0.84779,             0.73451,             0.77916,             0.50736,            0.050988,            0.028519,            0.015085,            0.004654,            0.004654,            0.004654
                  56,            0.053073,             0.02699,            0.015734,             0.83772,              0.7404,             0.78045,             0.50142,             0.05078,            0.028435,            0.015059,            0.004555,            0.004555,            0.004555
                  57,            0.053819,             0.02752,            0.016009,             0.84646,             0.73121,             0.78558,             0.51505,            0.050649,            0.028238,            0.015017,            0.004456,            0.004456,            0.004456
                  58,            0.053412,            0.027154,              0.0158,              0.8587,             0.73867,             0.78884,             0.51042,            0.050765,            0.028533,            0.015031,            0.004357,            0.004357,            0.004357
                  59,            0.053025,            0.026659,            0.015698,             0.82267,             0.74463,             0.77946,             0.51605,            0.050876,            0.028347,            0.014958,            0.004258,            0.004258,            0.004258
                  60,            0.052953,            0.026234,             0.01553,             0.85043,             0.74398,             0.79228,             0.51823,            0.050415,            0.028148,            0.014982,            0.004159,            0.004159,            0.004159
                  61,            0.052625,             0.02614,            0.015562,             0.84502,             0.74386,              0.7948,             0.52057,            0.050297,            0.028159,            0.014802,             0.00406,             0.00406,             0.00406
                  62,            0.052639,            0.026309,            0.015643,             0.85198,             0.76545,             0.80893,              0.5271,            0.050459,             0.02823,            0.014837,            0.003961,            0.003961,            0.003961
                  63,            0.053021,            0.026827,            0.015463,             0.85987,             0.75359,             0.80779,              0.5224,            0.050324,            0.028242,             0.01473,            0.003862,            0.003862,            0.003862
                  64,            0.052517,            0.026243,            0.015486,             0.85624,             0.74673,             0.79809,             0.51718,            0.050406,            0.028391,            0.014746,            0.003763,            0.003763,            0.003763
                  65,            0.052348,            0.026518,            0.015462,             0.83562,             0.76481,             0.80003,             0.52895,            0.050204,            0.028143,             0.01477,            0.003664,            0.003664,            0.003664
                  66,            0.052212,            0.026856,            0.015419,             0.83615,             0.77296,             0.80785,             0.52995,            0.050313,            0.028125,            0.014738,            0.003565,            0.003565,            0.003565
                  67,            0.052595,            0.026296,            0.015465,             0.85471,             0.75409,             0.79805,             0.53289,            0.050064,            0.028128,            0.014776,            0.003466,            0.003466,            0.003466
                  68,            0.052281,            0.026499,            0.015353,             0.83675,             0.76115,              0.7982,              0.5304,            0.050052,            0.028175,            0.014813,            0.003367,            0.003367,            0.003367
                  69,            0.051907,            0.025508,            0.015312,             0.85448,             0.75602,             0.80602,             0.53188,            0.050066,            0.028097,            0.014734,            0.003268,            0.003268,            0.003268
                  70,            0.052239,            0.027142,            0.015466,             0.86754,             0.76229,             0.80848,             0.53585,            0.049781,            0.027969,            0.014715,            0.003169,            0.003169,            0.003169
                  71,             0.05188,            0.025397,            0.015271,             0.84378,             0.75622,             0.80207,             0.53124,            0.049855,            0.027975,            0.014636,             0.00307,             0.00307,             0.00307
                  72,            0.051801,            0.026136,            0.015137,              0.8369,             0.76249,             0.80197,             0.53039,            0.049814,            0.028166,            0.014604,            0.002971,            0.002971,            0.002971
                  73,            0.051658,            0.026633,             0.01514,             0.84924,             0.77005,             0.80821,             0.53754,            0.049737,            0.027957,            0.014576,            0.002872,            0.002872,            0.002872
                  74,            0.051457,            0.026024,            0.015033,             0.84613,             0.77178,             0.80451,             0.52984,            0.049636,            0.027835,             0.01459,            0.002773,            0.002773,            0.002773
                  75,            0.051313,            0.025918,            0.014906,             0.85613,             0.75834,             0.80293,             0.53107,            0.049599,            0.027931,            0.014598,            0.002674,            0.002674,            0.002674
                  76,            0.051384,            0.025481,            0.014977,             0.84137,             0.77687,             0.81098,             0.53663,            0.049627,            0.027911,            0.014514,            0.002575,            0.002575,            0.002575
                  77,            0.051303,            0.025729,            0.015141,             0.85899,             0.76118,             0.81155,             0.54318,            0.049623,            0.028076,            0.014517,            0.002476,            0.002476,            0.002476
                  78,            0.051344,            0.025418,            0.015112,             0.85368,             0.77574,             0.81209,             0.54023,            0.049452,            0.027827,            0.014593,            0.002377,            0.002377,            0.002377
                  79,            0.051571,            0.025858,             0.01514,             0.84711,             0.77073,             0.80588,             0.54359,            0.049469,            0.027901,            0.014551,            0.002278,            0.002278,            0.002278
                  80,            0.051503,            0.026035,            0.015141,             0.84344,             0.76542,              0.8137,             0.54378,            0.049368,            0.027814,            0.014545,            0.002179,            0.002179,            0.002179
                  81,            0.051661,            0.026464,            0.015202,             0.87418,             0.75365,             0.81262,             0.55267,             0.04924,            0.027801,            0.014585,             0.00208,             0.00208,             0.00208
                  82,             0.05065,            0.025184,            0.014974,             0.86464,             0.76586,             0.81753,             0.54951,            0.049337,            0.027867,            0.014493,            0.001981,            0.001981,            0.001981
                  83,            0.051641,            0.025608,            0.014931,             0.84256,             0.78278,             0.81446,              0.5482,            0.049246,            0.027767,            0.014509,            0.001882,            0.001882,            0.001882
                  84,            0.051389,            0.026538,            0.014986,             0.84512,              0.7726,             0.81447,             0.55375,            0.049178,            0.027703,            0.014464,            0.001783,            0.001783,            0.001783
                  85,            0.050996,            0.025976,            0.015037,             0.85409,             0.77532,             0.82163,             0.55897,            0.048976,            0.027642,            0.014393,            0.001684,            0.001684,            0.001684
                  86,            0.050762,            0.025667,            0.014865,             0.84957,             0.77265,             0.81552,             0.55943,            0.049021,            0.027637,            0.014468,            0.001585,            0.001585,            0.001585
                  87,            0.050508,            0.025274,            0.014847,             0.86735,             0.76215,             0.81476,             0.55881,            0.049059,            0.027641,            0.014477,            0.001486,            0.001486,            0.001486
                  88,            0.050652,            0.025659,            0.015023,             0.86168,             0.76912,             0.81715,             0.55749,            0.048976,            0.027655,            0.014395,            0.001387,            0.001387,            0.001387
                  89,            0.051004,            0.025721,            0.014787,             0.85849,              0.7804,             0.82388,             0.55321,            0.049011,            0.027681,            0.014397,            0.001288,            0.001288,            0.001288
                  90,            0.050829,            0.025742,            0.014835,             0.86724,              0.7653,             0.81996,             0.55474,            0.048913,            0.027662,            0.014375,            0.001189,            0.001189,            0.001189
                  91,            0.050522,            0.026009,             0.01487,             0.84767,              0.7812,             0.82031,             0.55696,            0.048972,            0.027655,            0.014379,             0.00109,             0.00109,             0.00109
                  92,            0.050762,             0.02517,            0.014892,              0.8592,             0.77009,             0.81952,             0.55696,            0.048894,             0.02758,            0.014386,            0.000991,            0.000991,            0.000991
                  93,            0.050358,            0.025432,            0.014778,             0.84736,             0.77651,             0.81982,             0.56051,            0.048853,            0.027557,            0.014397,            0.000892,            0.000892,            0.000892
                  94,            0.050308,            0.025155,            0.014771,             0.85869,             0.78521,              0.8219,             0.55652,            0.048785,            0.027565,            0.014393,            0.000793,            0.000793,            0.000793
                  95,             0.05071,            0.026014,            0.014805,             0.86096,             0.77395,             0.82008,             0.55762,            0.048745,            0.027474,            0.014319,            0.000694,            0.000694,            0.000694
                  96,            0.050473,            0.025606,             0.01499,             0.86326,              0.7726,             0.82248,             0.56388,            0.048779,            0.027512,            0.014322,            0.000595,            0.000595,            0.000595
                  97,            0.049996,            0.025268,            0.014738,             0.84671,             0.78192,             0.82143,             0.56343,            0.048714,            0.027463,            0.014353,            0.000496,            0.000496,            0.000496
                  98,            0.050486,            0.024926,            0.014696,             0.84421,             0.78945,             0.82587,             0.56564,            0.048688,            0.027469,            0.014348,            0.000397,            0.000397,            0.000397
                  99,            0.050341,            0.024889,            0.014756,             0.85451,             0.77954,             0.82502,             0.56474,            0.048676,            0.027453,            0.014324,            0.000298,            0.000298,            0.000298
